timestamp,cpu_percent,memory_rss_kb
1783404265,0.6,12496
1783404267,0.9,37708
1783404269,0.9,40680
1783404271,1.0,40680
1783404273,1.0,40680
1783404275,1.1,40680
1783404277,1.2,40680
1783404279,1.2,40680
1783404281,1.3,40680
1783404283,1.3,40680
1783404285,1.4,40680
1783404287,1.4,40680
1783404289,1.5,40680
1783404291,1.5,40680
1783404293,1.6,40680
1783404295,1.6,40680
1783404297,1.6,40680
1783404299,1.9,48548
1783404301,1.9,48876
1783404303,1.9,48876
1783404305,2.0,48876
1783404307,2.0,48876
1783404309,2.0,48876
1783404311,2.1,48876
1783404313,2.1,48876
1783404315,2.1,48876
1783404317,2.1,48876
1783404319,2.2,48876
1783404321,2.2,48876
1783404323,2.2,48876
