timestamp,cpu_millicores,memory_rss_kb
1783506195,2,7168
1783506197,2,7168
1783506199,2,7168
1783506201,2,7168
1783506203,2,7168
1783506205,2,7168
1783506207,2,7168
1783506210,2,7168
1783506212,2,7168
1783506214,19,15360
1783506216,19,15360
1783506218,19,15360
1783506220,19,15360
1783506222,19,15360
1783506224,19,15360
1783506226,19,15360
1783506228,19,15360
1783506230,23,35840
1783506232,23,35840
1783506234,23,35840
1783506236,23,35840
1783506238,23,35840
1783506240,23,35840
1783506242,23,35840
1783506244,22,35840
1783506246,22,35840
1783506248,22,35840
1783506250,22,35840
1783506252,22,35840
1783506254,22,35840
