timestamp,host_util_percent
1783506266,0.0
1783506268,12.2
1783506270,11.3
1783506272,10.5
1783506274,10.8
1783506276,11.1
1783506278,11.3
1783506281,11.0
1783506283,10.5
1783506285,10.3
1783506287,10.6
1783506289,10.9
1783506291,11.4
1783506293,10.8
1783506295,10.5
1783506297,11.2
1783506299,10.3
1783506301,10.2
1783506303,10.2
1783506305,10.4
1783506307,10.3
1783506309,10.4
1783506311,10.3
1783506313,10.3
1783506315,10.7
1783506317,10.4
1783506319,11.6
1783506321,11.2
1783506323,10.7
1783506325,10.9
