timestamp,host_util_percent
1783507335,20.0
1783507337,12.9
1783507339,12.2
1783507341,11.9
1783507343,12.1
1783507345,12.9
1783507347,13.5
1783507349,12.1
1783507351,12.1
1783507353,12.5
1783507356,12.5
1783507358,12.4
1783507360,13.4
1783507362,12.7
1783507364,12.2
1783507366,12.4
1783507368,12.2
1783507370,12.5
1783507372,12.4
1783507374,12.6
1783507376,12.4
1783507378,11.8
1783507380,11.9
1783507382,11.2
1783507384,12.4
1783507386,11.8
1783507388,11.8
1783507390,11.7
1783507392,11.6
1783507394,11.4
