timestamp,cpu_millicores,memory_rss_kb
1783414309,17,15360
1783414311,17,15360
1783414313,17,15360
1783414315,17,15360
1783414317,17,15360
1783414319,54,36864
1783414321,54,36864
1783414323,54,36864
1783414325,54,36864
1783414327,54,36864
1783414329,54,36864
1783414331,54,36864
1783414333,164,38912
1783414336,164,38912
1783414338,164,38912
1783414340,164,38912
1783414342,164,38912
1783414344,164,38912
1783414346,164,38912
1783414348,164,38912
1783414350,158,38912
1783414352,158,38912
1783414354,158,38912
1783414356,158,38912
1783414358,158,38912
1783414360,158,38912
1783414362,158,38912
1783414364,151,44032
1783414366,151,44032
1783414368,151,44032
1783414370,151,44032
1783414372,151,44032
1783414374,151,44032
1783414376,151,44032
1783414378,148,73728
1783414380,148,73728
1783414382,148,73728
1783414384,148,73728
1783414387,148,73728
1783414389,148,73728
1783414391,148,73728
1783414393,148,73728
1783414395,148,73728
1783414397,148,73728
1783414399,148,73728
1783414401,148,73728
1783414403,148,73728
1783414405,148,73728
1783414407,148,73728
1783414409,132,88064
1783414411,132,88064
1783414413,132,88064
1783414415,132,88064
1783414417,132,88064
1783414419,132,88064
1783414421,132,88064
1783414423,132,88064
1783414425,132,88064
1783414427,132,88064
1783414429,132,88064
1783414431,132,88064
1783414433,132,88064
1783414435,132,88064
1783414438,132,88064
1783414440,133,97280
1783414442,133,97280
1783414444,133,97280
1783414446,133,97280
1783414448,133,97280
1783414450,133,97280
1783414452,133,97280
1783414454,129,98304
1783414456,129,98304
1783414458,129,98304
1783414460,129,98304
1783414462,129,98304
1783414464,129,98304
1783414466,129,98304
1783414468,129,98304
1783414470,126,98304
1783414472,126,98304
1783414474,126,98304
1783414476,126,98304
1783414478,126,98304
1783414480,126,98304
1783414482,126,98304
1783414484,124,99328
1783414486,124,99328
1783414489,124,99328
1783414491,124,99328
1783414493,124,99328
1783414495,124,99328
1783414497,124,99328
1783414499,131,98304
1783414501,131,98304
1783414503,131,98304
1783414505,131,98304
1783414507,131,98304
1783414509,131,98304
1783414511,131,98304
1783414513,131,98304
1783414515,129,100352
1783414517,129,100352
1783414519,129,100352
1783414521,129,100352
1783414523,129,100352
1783414525,129,100352
1783414527,129,100352
1783414529,124,104448
1783414531,124,104448
1783414533,124,104448
1783414535,124,104448
1783414538,124,104448
1783414540,124,104448
1783414542,124,104448
1783414544,130,99328
1783414546,130,99328
1783414548,130,99328
1783414550,130,99328
1783414552,130,99328
1783414554,130,99328
1783414556,130,99328
1783414558,130,99328
1783414560,129,99328
1783414562,129,99328
1783414564,129,99328
1783414566,129,99328
1783414568,129,99328
1783414570,129,99328
1783414572,129,99328
1783414574,131,99328
1783414576,131,99328
1783414578,131,99328
1783414580,131,99328
1783414582,131,99328
1783414584,131,99328
1783414586,131,99328
1783414588,127,99328
1783414591,127,99328
1783414593,127,99328
1783414595,127,99328
1783414597,127,99328
1783414599,127,99328
1783414601,127,99328
1783414603,127,99328
1783414605,127,101376
1783414607,127,101376
