timestamp,host_util_percent
1783506689,20.0
1783506691,11.5
1783506693,11.6
1783506695,12.0
1783506697,11.7
1783506699,12.3
1783506701,13.2
1783506703,12.6
1783506705,12.4
1783506707,11.6
1783506709,12.4
1783506711,13.0
1783506713,12.4
1783506715,12.5
1783506717,12.3
1783506719,12.9
1783506721,13.2
1783506723,12.5
1783506726,12.1
1783506728,12.2
1783506730,12.6
1783506732,12.2
1783506734,12.2
1783506736,12.6
1783506738,12.8
1783506740,13.0
1783506742,13.1
1783506744,12.7
1783506746,12.2
1783506748,12.4
