timestamp,cpu_millicores,memory_rss_kb
1783413261,40,35840
1783413263,40,35840
1783413265,40,35840
1783413267,40,35840
1783413269,40,35840
1783413271,40,35840
1783413273,68,91136
1783413275,68,91136
1783413277,68,91136
1783413279,68,91136
1783413281,68,91136
1783413283,68,91136
1783413285,68,91136
1783413287,332,252928
1783413289,332,252928
1783413291,332,252928
1783413293,332,252928
1783413295,332,252928
1783413297,332,252928
1783413299,332,252928
1783413301,380,253952
1783413304,380,253952
1783413306,380,253952
1783413308,380,253952
1783413310,380,253952
1783413312,380,253952
1783413314,380,253952
1783413316,380,253952
1783413318,384,251904
1783413320,384,251904
1783413322,384,251904
1783413324,384,251904
1783413326,384,251904
1783413328,384,251904
1783413330,384,251904
1783413332,382,248832
1783413334,382,248832
1783413336,382,248832
1783413338,382,248832
1783413340,382,248832
1783413342,382,248832
1783413344,382,248832
1783413346,379,254976
1783413348,379,254976
1783413350,379,254976
1783413352,379,254976
1783413355,379,254976
1783413357,379,254976
1783413359,379,254976
1783413361,379,254976
1783413363,390,253952
1783413365,390,253952
1783413367,390,253952
1783413369,390,253952
1783413371,390,253952
1783413373,390,253952
1783413375,390,253952
1783413377,391,253952
1783413379,391,253952
1783413381,391,253952
1783413383,391,253952
1783413385,391,253952
1783413387,391,253952
1783413389,391,253952
1783413391,391,253952
1783413393,381,252928
1783413395,381,252928
1783413397,381,252928
1783413399,381,252928
1783413401,381,252928
1783413403,381,252928
1783413406,381,252928
1783413408,386,259072
1783413410,386,259072
1783413412,386,259072
1783413414,386,259072
1783413416,386,259072
1783413418,386,259072
1783413420,386,259072
1783413422,382,254976
1783413424,382,254976
1783413426,382,254976
1783413428,382,254976
1783413430,382,254976
1783413432,382,254976
1783413434,382,254976
1783413436,382,254976
1783413438,389,256000
1783413440,389,256000
1783413442,389,256000
1783413444,389,256000
1783413446,389,256000
1783413448,389,256000
1783413450,389,256000
1783413452,391,251904
1783413454,391,251904
1783413456,391,251904
1783413459,391,251904
1783413461,391,251904
1783413463,391,251904
1783413465,391,251904
1783413467,371,248832
1783413469,371,248832
1783413471,371,248832
1783413473,371,248832
1783413475,371,248832
1783413477,371,248832
1783413479,371,248832
1783413481,371,248832
1783413483,377,250880
1783413485,377,250880
1783413487,377,250880
1783413489,377,250880
1783413491,377,250880
1783413493,377,250880
1783413495,377,250880
1783413497,383,256000
1783413499,383,256000
1783413501,383,256000
1783413503,383,256000
1783413505,383,256000
1783413507,383,256000
1783413510,383,256000
1783413512,387,258048
1783413514,387,258048
1783413516,387,258048
1783413518,387,258048
1783413520,387,258048
1783413522,387,258048
1783413524,387,258048
1783413526,387,258048
1783413528,384,257024
1783413530,384,257024
1783413532,384,257024
1783413534,384,257024
1783413536,384,257024
1783413538,384,257024
1783413540,384,257024
1783413542,382,249856
1783413544,382,249856
1783413546,382,249856
1783413548,382,249856
1783413550,382,249856
1783413552,382,249856
1783413554,382,249856
1783413556,376,253952
1783413558,376,253952
1783413561,376,253952
